entry_date,exit_date,entry_price,exit_price,trade_return,hold_days,exit_reason,strategy,symbol
2021-08-09,2021-08-23,21.75,21.8799991607666,0.005976972908809275,10,max_hold,RSI14_Stocks,SLV
2021-08-20,2021-08-24,43.43000030517578,47.369998931884766,0.09072066771870224,2,rsi_exit,RSI14_Stocks,USO
2021-08-18,2021-08-30,160.06100463867188,171.07850646972656,0.06883314181318578,8,rsi_exit,RSI14_Stocks,AMZN
2021-08-19,2021-08-30,44.275291442871094,46.20574188232422,0.04360107808536973,7,rsi_exit,RSI14_Stocks,EEM
2021-09-22,2021-10-06,340.8291931152344,331.32562255859375,-0.02788367530896174,10,max_hold,RSI14_Stocks,META
2021-09-28,2021-10-12,119.34391021728516,116.98260498046875,-0.019785720381687355,10,max_hold,RSI14_Stocks,XLV
2021-09-29,2021-10-13,19.950000762939453,21.329999923706055,0.06917288761864038,10,rsi_exit,RSI14_Stocks,SLV
2021-10-04,2021-10-14,343.4022216796875,357.0460205078125,0.03973124798491079,8,rsi_exit,RSI14_Stocks,QQQ
2021-10-04,2021-10-15,159.48899841308594,170.4510040283203,0.06873204875763372,9,rsi_exit,RSI14_Stocks,AMZN
2021-10-11,2021-10-25,75.9732666015625,75.86726379394531,-0.0013952645760660909,10,max_hold,RSI14_Stocks,SHY
2021-11-23,2021-12-01,104.22321319580078,96.98384857177734,-0.0694601941548576,5,stop,RSI14_Stocks,ARKK
2021-12-01,2021-12-03,96.98384857177734,91.9969482421875,-0.05141990551033926,2,stop,RSI14_Stocks,ARKK
2021-11-26,2021-12-06,67.25186920166016,68.19242095947266,0.01398551101965917,6,rsi_exit,RSI14_Stocks,HYG
2021-11-26,2021-12-10,43.52455139160156,44.757904052734375,0.028336941374444535,10,max_hold,RSI14_Stocks,EEM
2021-11-29,2021-12-13,114.43597412109375,110.20865631103516,-0.03694046249464644,10,max_hold,RSI14_Stocks,XBI
2021-11-30,2021-12-14,206.4822998046875,203.32179260253906,-0.015306431617324923,10,max_hold,RSI14_Stocks,IWM
2021-12-03,2021-12-17,91.9969482421875,95.60679626464844,0.03923878010559423,10,max_hold,RSI14_Stocks,ARKK
2021-12-06,2021-12-20,18.799999237060547,17.959999084472656,-0.044680860993440596,10,max_hold,RSI14_Stocks,PLTR
2021-12-20,2022-01-04,32.21751403808594,32.507354736328125,0.008996370666574549,10,max_hold,RSI14_Stocks,FXI
2022-01-13,2022-01-18,16.010000228881836,14.970000267028809,-0.06495939706339793,2,stop,RSI14_Stocks,PLTR
2022-01-13,2022-01-19,79.31849670410156,75.12348175048828,-0.05288823071449311,3,stop,RSI14_Stocks,ARKK
2022-01-10,2022-01-20,48.19499969482422,45.75299835205078,-0.05066918473361226,7,stop,RSI14_Stocks,MSTR
2022-01-13,2022-01-20,97.5764389038086,91.47915649414062,-0.062487240548701584,4,stop,RSI14_Stocks,XBI
